,state,county,city,date,description,adl_id,fips_county,CountyState
43,CA,Alameda,san lorenzo,2018-05-01,anti-semitic verbal harassment by teacher towards students.,5938,6001,Alameda County CA
44,CA,San Francisco,san francisco,2017-11-01,middle school student caught carving a swastika into a desk.,2997,6075,San Francisco County CA
45,CA,San Francisco,san francisco,2017-11-01,"student drew a swastika and wrote ""heil hitler"" with a sharpie on a desk in a jewish teacher's classroom.",2996,6075,San Francisco County CA
46,CA,San Francisco,san francisco,2017-11-01,opposing soccer team harassed jewish high school players with anti-semitic taunts.,2990,6075,San Francisco County CA
47,CA,San Francisco,san francisco,2019-12-01,"a jewish student was harassed by her peers who told her ?you?re just being greedy and wanting attention because you are a jew.""",12145,6075,San Francisco County CA
48,CA,Contra Costa,alamo,2017-11-01,"student continuously harassing other students saying he""will slaughter your jewish god"" and ""smack your jewish girlfriend's dick.""",2995,6013,Contra Costa County CA
49,CA,Contra Costa,danville,2016-03-01,jewish girl at middle school victim of anti-semitic bullying by peers.,696,6013,Contra Costa County CA
50,CA,Contra Costa,el cerrito,2018-11-01,"jewish boy verbally harassed by classmates who called him a ""penny-pincher jew,"" among other things.",6763,6013,Contra Costa County CA
51,CA,Contra Costa,lafayette,2016-04-01,"jewish high school student told by his peers ""you should have burned like all the rest of the jews.""",1223,6013,Contra Costa County CA
52,CA,Contra Costa,lafayette,2016-09-01,anti-semitic flyers referencing local high schools found on public transportation.,113,6013,Contra Costa County CA
53,CA,Contra Costa,moraga,2017-09-01,a middle school student drew a swastika on the pavement at school.,2958,6013,Contra Costa County CA
54,CA,Contra Costa,orinda,2016-09-01,"members of a high school cheerleading squad made references to burning jews and posted ""hail hitler"" on social media.",1854,6013,Contra Costa County CA
55,CA,Contra Costa,walnut creek,2016-12-01,high school student harassed jewish students.,2539,6013,Contra Costa County CA
56,CA,Contra Costa,walnut creek,2017-10-01,"jewish student called a a ""yiddish piece of shit"" by a classmate.",2974,6013,Contra Costa County CA
57,CA,Contra Costa,walnut creek,2018-07-01,high school student drew a swastika on his phone and showed it to his jewish classmate.,6222,6013,Contra Costa County CA
58,CA,Los Angeles,agoura hills,2019-08-01,an etching of a swastika was discovered on the stall of a bathroom at a public high school with a large jewish student population.,10402,6037,Los Angeles County CA
59,CA,Los Angeles,altadena,2016-12-01,"middle school student told by another student, ""go to the gas chamber, dirty jew.""",47,6037,Los Angeles County CA
60,CA,Los Angeles,azusa,2018-05-01,a group of students used anti-semitic slurs to target a student.,6035,6037,Los Angeles County CA
61,CA,Los Angeles,beverly hills,2018-05-01,"graffiti, that included a drawing of a swastika, was discovered on the exterior wall of a jewish day school.",6049,6037,Los Angeles County CA
62,CA,Los Angeles,burbank,2017-03-01,anti-semitic anti-semitic incident: harassment of middle school student by classmate.,2851,6037,Los Angeles County CA
63,CA,Los Angeles,calabasas,2017-05-01,swastika drawn in feces discover in a boy's bathroom at a high school.,2884,6037,Los Angeles County CA
64,CA,Los Angeles,calabasas,2018-05-01,a swastika was spray-painted on the bathroom wall at a high school.,6065,6037,Los Angeles County CA
65,CA,Los Angeles,calabasas,2018-06-03,"an unknown person or group posted white supremacist flyers at a public high school. the flyers read: ""khazar = jewish ghetto police.""",440,6037,Los Angeles County CA
66,CA,Los Angeles,calabasas,2018-10-01,"three swastikas were drawn on the campus of a public high school, which has a large jewish population.",6618,6037,Los Angeles County CA
67,CA,Los Angeles,calabasas,2019-03-01,"anti-semitic fliers were discovered at a high school that asked ""what is the difference between crackheads and jews?"" a swastika and the message ""the murder of innocent women and children by a rothschild led jewish zionist armed militia to forcibly confiscate the land of palestine now known as israel.""",9611,6037,Los Angeles County CA
68,CA,Los Angeles,long beach,2016-05-01,casual references to the holocaust and anti-semitic jokes made in a middle school classroom.,1332,6037,Los Angeles County CA
69,CA,Los Angeles,long beach,2016-08-01,elementary school teacher performed nazi salute to class during the united states pledge of allegiance.,1333,6037,Los Angeles County CA
70,CA,Los Angeles,long beach,2016-09-01,jewish middle school student harassed by classmate at school and via text and social media.,1334,6037,Los Angeles County CA
71,CA,Los Angeles,long beach,2016-11-01,"jewish student targeted with anti-semitic harassment after substitute teacher fails to stop students doing the ""heil hitler"" and chanting ""kill the jews.""",1335,6037,Los Angeles County CA
72,CA,Los Angeles,long beach,2017-09-01,jewish middle school student bullied with anti-semitic jokes and comments.,2964,6037,Los Angeles County CA
73,CA,Los Angeles,los angeles,2017-02-01,westboro baptist church hate group protested outside jewish high school.,2813,6037,Los Angeles County CA
74,CA,Los Angeles,los angeles,2017-10-01,"man drove by jewish high school yelling ""white power"" and made obscene gestures.",2979,6037,Los Angeles County CA
