CountyState,state,FIPS,county,county_seat,population_2010,Land Area (km²),Land Area (mi²),Water Area (km²),Water Area (mi²),Total Area (km²),Total Area (mi²),latitude,longitude
Cullman County AL,AL,1043.0,Cullman,Cullman,"80,406","1,903.23",734.841,52.267,20.18,"1,955.50",755.021,34.131923,-86.869267
Dale County AL,AL,1045.0,Dale,Ozark,"50,251","1,453.37",561.15,4.016,1.551,"1,457.39",562.701,31.430654,-85.609476
Dallas County AL,AL,1047.0,Dallas,Selma,"43,820","2,534.81",978.695,39.135,15.11,"2,573.94",993.805,32.33354,-87.114356
DeKalb County AL,AL,1049.0,DeKalb,Fort Payne,"71,109","2,012.66",777.093,4.124,1.592,"2,016.79",778.685,34.460929,-85.803992
Elmore County AL,AL,1051.0,Elmore,Wetumpka,"79,303","1,601.87",618.485,99.863,38.557,"1,701.73",657.042,32.597229,-86.142739
Escambia County AL,AL,1053.0,Escambia,Brewton,"38,319","2,447.75",945.08,20.873,8.059,"2,468.62",953.139,31.121748,-87.168429
Etowah County AL,AL,1055.0,Etowah,Gadsden,"104,430","1,385.62",534.991,35.323,13.638,"1,420.94",548.629,34.047638,-86.03442
Fayette County AL,AL,1057.0,Fayette,Fayette,"17,241","1,625.63",627.66,4.393,1.696,"1,630.02",629.356,33.732249,-87.752049
Franklin County AL,AL,1059.0,Franklin,Russellville,"31,704","1,641.59",633.821,32.898,12.702,"1,674.49",646.523,34.441988,-87.842815
Geneva County AL,AL,1061.0,Geneva,Geneva,"26,790","1,487.71",574.408,11.765,4.543,"1,499.48",578.951,31.090866,-85.824346
Greene County AL,AL,1063.0,Greene,Eutaw,"9,045","1,676.01",647.11,33.231,12.831,"1,709.24",659.941,32.844497,-87.964201
Hale County AL,AL,1065.0,Hale,Greensboro,"15,760","1,667.80",643.943,32.526,12.558,"1,700.33",656.501,32.752796,-87.623061
Henry County AL,AL,1067.0,Henry,Abbeville,"17,302","1,454.93",561.75,16.987,6.559,"1,471.91",568.309,31.516978,-85.239971
Houston County AL,AL,1069.0,Houston,Dothan,"101,547","1,501.74",579.824,4.74,1.83,"1,506.48",581.654,31.158193,-85.296398
Jackson County AL,AL,1071.0,Jackson,Scottsboro,"53,227","2,791.67","1,077.87",126.657,48.903,"2,918.32","1,126.77",34.763522,-85.9774
Jefferson County AL,AL,1073.0,Jefferson,Birmingham,"658,466","2,878.19","1,111.28",32.474,12.538,"2,910.67","1,123.81",33.553444,-86.896536
Lamar County AL,AL,1075.0,Lamar,Vernon,"14,564","1,566.55",604.846,1.601,0.618,"1,568.15",605.464,33.787085,-88.087431
Lauderdale County AL,AL,1077.0,Lauderdale,Florence,"92,709","1,729.33",667.697,138.027,53.293,"1,867.36",720.99,34.904122,-87.650997
Lawrence County AL,AL,1079.0,Lawrence,Moulton,"34,339","1,788.85",690.678,68.688,26.521,"1,857.54",717.199,34.529776,-87.321865
Lee County AL,AL,1081.0,Lee,Opelika,"140,247","1,573.51",607.536,21.53,8.313,"1,595.04",615.849,32.604064,-85.353048
Limestone County AL,AL,1083.0,Limestone,Athens,"82,782","1,450.23",559.936,122.382,47.252,"1,572.61",607.188,34.810239,-86.9814
Lowndes County AL,AL,1085.0,Lowndes,Hayneville,"11,299","1,854.20",715.911,23.724,9.16,"1,877.92",725.071,32.147888,-86.650586
Macon County AL,AL,1087.0,Macon,Tuskegee,"21,452","1,577.01",608.885,11.194,4.322,"1,588.20",613.207,32.387027,-85.692887
Madison County AL,AL,1089.0,Madison,Huntsville,"334,811","2,076.12",801.593,28.771,11.109,"2,104.89",812.702,34.764238,-86.55108
Marengo County AL,AL,1091.0,Marengo,Linden,"21,027","2,530.11",976.882,14.995,5.789,"2,545.11",982.671,32.247591,-87.791091
Marion County AL,AL,1093.0,Marion,Hamilton,"30,776","1,922.53",742.292,3.313,1.279,"1,925.84",743.571,34.138219,-87.881551
Marshall County AL,AL,1095.0,Marshall,Guntersville,"93,019","1,465.52",565.842,148.503,57.337,"1,614.03",623.179,34.309564,-86.321668
Mobile County AL,AL,1097.0,Mobile,Mobile,"412,992","3,184.22","1,229.44","1,073.75",414.577,"4,257.97","1,644.01",30.684573,-88.196568
Monroe County AL,AL,1099.0,Monroe,Monroeville,"23,068","2,656.49","1,025.68",22.643,8.743,"2,679.13","1,034.42",31.580332,-87.383266
Montgomery County AL,AL,1101.0,Montgomery,Montgomery,"229,363","2,031.19",784.247,40.571,15.665,"2,071.76",799.912,32.203651,-86.203831
Morgan County AL,AL,1103.0,Morgan,Decatur,"119,490","1,500.48",579.337,51.065,19.716,"1,551.54",599.053,34.454484,-86.846402
Perry County AL,AL,1105.0,Perry,Marion,"10,591","1,863.92",719.664,10.919,4.216,"1,874.84",723.88,32.639005,-87.293827
Pickens County AL,AL,1107.0,Pickens,Carrollton,"19,746","2,282.84",881.408,22.578,8.717,"2,305.42",890.125,33.296809,-88.096878
Pike County AL,AL,1109.0,Pike,Troy,"32,899","1,740.72",672.094,2.363,0.912,"1,743.08",673.006,31.798726,-85.941997
Randolph County AL,AL,1111.0,Randolph,Wedowee,"22,913","1,503.62",580.55,9.285,3.585,"1,512.90",584.135,33.296475,-85.464068
Russell County AL,AL,1113.0,Russell,Phenix City,"52,947","1,660.55",641.14,15.673,6.052,"1,676.22",647.192,32.289811,-85.18698
St. Clair County AL,AL,1115.0,St. Clair,"Ashville, Pell City","83,593","1,636.62",631.902,56.3,21.738,"1,692.92",653.64,33.712963,-86.315663
Shelby County AL,AL,1117.0,Shelby,Columbiana,"195,085","2,032.96",784.93,63.701,24.595,"2,096.66",809.525,33.262937,-86.678104
Sumter County AL,AL,1119.0,Sumter,Livingston,"13,763","2,341.06",903.887,24.436,9.435,"2,365.49",913.322,32.597481,-88.200057
Talladega County AL,AL,1121.0,Talladega,Talladega,"82,291","1,908.24",736.775,60.944,23.531,"1,969.18",760.306,33.369277,-86.175805
Tallapoosa County AL,AL,1123.0,Tallapoosa,Dadeville,"41,616","1,855.78",716.521,128.809,49.733,"1,984.59",766.254,32.863369,-85.799553
Tuscaloosa County AL,AL,1125.0,Tuscaloosa,Tuscaloosa,"194,656","3,423.33","1,321.76",76.396,29.497,"3,499.73","1,351.25",33.290202,-87.52286
Walker County AL,AL,1127.0,Walker,Jasper,"67,023","2,049.18",791.192,36.264,14.002,"2,085.44",805.194,33.791571,-87.301092
Washington County AL,AL,1129.0,Washington,Chatom,"17,581","2,797.72","1,080.21",21.651,8.359,"2,819.37","1,088.57",31.406974,-88.202078
Wilcox County AL,AL,1131.0,Wilcox,Camden,"11,670","2,301.20",888.498,48.985,18.913,"2,350.19",907.411,31.99033,-87.302205
Winston County AL,AL,1133.0,Winston,Double Springs,"24,484","1,587.61",612.979,48.923,18.889,"1,636.53",631.868,34.155888,-87.364147
Aleutians East County AK,AK,2013.0,Aleutians East,Sand Point,"3,141","18,083.15","6,981.94","20,792.21","8,027.92","38,875.36","15,009.86",55.243722,-161.950749
Aleutians West County AK,AK,2016.0,Aleutians West [4],—,"5,561","11,370.76","4,390.28","25,190.64","9,726.16","36,561.41","14,116.44",51.959447,-178.338813
Anchorage County AK,AK,2020.0,Anchorage,Anchorage,"291,826","4,415.11","1,704.68",663.861,256.318,"5,078.97","1,961.00",61.177549,-149.274354
Bethel County AK,AK,2050.0,Bethel [4],—,"17,013","105,075.82","40,570.00","12,779.52","4,934.20","117,855.35","45,504.21",60.928916,-160.15335
Bristol Bay County AK,AK,2060.0,Bristol Bay,Naknek,997,"1,304.95",503.843,993.83,383.72,"2,298.78",887.563,58.731373,-156.986612
Denali County AK,AK,2068.0,Denali,Healy,"1,826","33,026.00","12,751.41",66.069,25.509,"33,092.07","12,776.92",63.682732,-150.026719
Dillingham County AK,AK,2070.0,Dillingham [4],—,"4,847","48,092.91","18,568.78","6,077.22","2,346.43","54,170.14","20,915.21",59.824816,-158.602233
Fairbanks North Star County AK,AK,2090.0,Fairbanks North Star,Fairbanks,"97,581","19,005.87","7,338.21",273.188,105.479,"19,279.06","7,443.69",64.690832,-146.599867
Haines County AK,AK,2100.0,Haines,Haines,"2,508","6,005.15","2,318.60","1,053.88",406.903,"7,059.02","2,725.50",59.099905,-135.578102
Hoonah-Angoon County AK,AK,2105.0,Hoonah-Angoon [4],—,"2,150","19,489.44","7,524.92","8,778.09","3,389.24","28,267.52","10,914.15",58.076434,-135.1851
Juneau County AK,AK,2110.0,Juneau,Juneau,"31,275","6,997.97","2,701.93","1,429.58",551.962,"8,427.54","3,253.89",58.3727,-134.178781
Kenai Peninsula County AK,AK,2122.0,Kenai Peninsula,Soldotna,"55,400","41,634.92","16,075.33","22,473.29","8,676.99","64,108.21","24,752.32",60.366373,-152.321973
Ketchikan Gateway County AK,AK,2130.0,Ketchikan Gateway,Ketchikan,"13,477","12,583.23","4,858.41","4,649.41","1,795.15","17,232.65","6,653.56",55.449938,-131.106685
Kodiak Island County AK,AK,2150.0,Kodiak Island,Kodiak,"13,592","16,963.33","6,549.58","14,173.06","5,472.25","31,136.39","12,021.83",57.553611,-153.630911
Lake and Peninsula County AK,AK,2164.0,Lake and Peninsula,King Salmon [5],"1,631","61,258.42","23,652.01","24,010.46","9,270.49","85,268.88","32,922.50",58.205065,-156.705188
Matanuska-Susitna County AK,AK,2170.0,Matanuska-Susitna,Palmer,"88,995","63,734.16","24,607.90","1,682.74",649.709,"65,416.90","25,257.61",62.182174,-149.407974
Nome County AK,AK,2180.0,Nome [4],—,"9,492","59,470.69","22,961.76","13,768.01","5,315.86","73,238.70","28,277.62",64.783686,-164.188912
North Slope County AK,AK,2185.0,North Slope,Barrow,"9,430","229,720.05","88,695.41","15,801.18","6,100.87","245,521.23","94,796.28",69.449343,-153.47283
Northwest Arctic County AK,AK,2188.0,Northwest Arctic,Kotzebue,"7,523","92,132.57","35,572.58","13,406.69","5,176.35","105,539.25","40,748.94",67.005066,-160.021086
Petersburg County AK,AK,2195.0,Petersburg [4],—,"3,815","8,500.29","3,281.98","6,221.37","2,402.08","14,721.66","5,684.07",56.639612,-133.527996
Prince of Wales-Hyder County AK,AK,2198.0,Prince of Wales-Hyder [4],—,"5,559","10,160.19","3,922.87","9,739.42","3,760.41","19,899.61","7,683.28",55.415683,-132.875734
Sitka County AK,AK,2220.0,Sitka,Sitka,"8,881","7,434.14","2,870.34","5,027.40","1,941.09","12,461.55","4,811.43",57.142509,-135.332624
Skagway County AK,AK,2230.0,Skagway,Skagway,968,"1,171.52",452.325,30.331,11.711,"1,201.85",464.036,59.575097,-135.335418
Southeast Fairbanks County AK,AK,2240.0,Southeast Fairbanks [4],—,"7,029","64,150.92","24,768.81",752.795,290.656,"64,903.71","25,059.46",63.864997,-143.218628
Valdez-Cordova County AK,AK,2261.0,Valdez-Cordova [4],—,"9,636","88,680.88","34,239.88","15,799.69","6,100.30","104,480.57","40,340.18",61.34984,-145.023141
Wade Hampton County AK,AK,2270.0,Wade Hampton [4],—,"7,459","44,240.71","17,081.43","6,712.00","2,591.52","50,952.71","19,672.95",62.283174,-163.19095
Wrangell County AK,AK,2275.0,Wrangell,Wrangell,"2,369","6,582.41","2,541.48","2,384.28",920.574,"8,966.69","3,462.06",56.279121,-132.040326
Yakutat County AK,AK,2282.0,Yakutat,Yakutat,662,"19,812.00","7,649.46","4,696.71","1,813.41","24,508.71","9,462.87",59.999083,-140.239593
Yukon-Koyukuk County AK,AK,2290.0,Yukon-Koyukuk [4],—,"5,588","376,855.66","145,504.79","5,956.56","2,299.84","382,812.22","147,804.63",65.376131,-151.576855
Apache County AZ,AZ,4001.0,Apache,St. Johns,"71,518","29,001.44","11,197.52",54.176,20.917,"29,055.62","11,218.44",35.385845,-109.493747
Cochise County AZ,AZ,4003.0,Cochise,Bisbee,"131,346","15,969.06","6,165.69",137.025,52.906,"16,106.09","6,218.60",31.881793,-109.75412
Coconino County AZ,AZ,4005.0,Coconino,Flagstaff,"134,421","48,222.69","18,618.89",109.964,42.457,"48,332.65","18,661.34",35.829692,-111.773728
Gila County AZ,AZ,4007.0,Gila,Globe,"53,597","12,322.99","4,757.93",97.112,37.495,"12,420.10","4,795.43",33.789618,-110.81187
Graham County AZ,AZ,4009.0,Graham,Safford,"37,220","11,972.47","4,622.60",47.834,18.469,"12,020.31","4,641.07",32.931828,-109.87831
Greenlee County AZ,AZ,4011.0,Greenlee,Clifton,"8,437","4,773.67","1,843.13",13.745,5.307,"4,787.42","1,848.43",33.238872,-109.242323
La Paz County AZ,AZ,4012.0,La Paz,Parker,"20,489","11,653.98","4,499.63",36.582,14.124,"11,690.57","4,513.75",33.727625,-114.038793
Maricopa County AZ,AZ,4013.0,Maricopa,Phoenix,"3,817,117","23,828.26","9,200.14",62.796,24.246,"23,891.06","9,224.39",33.346541,-112.495534
Mohave County AZ,AZ,4015.0,Mohave,Kingman,"200,186","34,475.55","13,311.08",387.371,149.565,"34,862.92","13,460.65",35.717705,-113.749689
Navajo County AZ,AZ,4017.0,Navajo,Holbrook,"107,449","25,771.47","9,950.42",24.078,9.297,"25,795.55","9,959.72",35.390934,-110.320908
Pima County AZ,AZ,4019.0,Pima,Tucson,"980,263","23,794.31","9,187.04",5.338,2.061,"23,799.65","9,189.10",32.128237,-111.783018
Pinal County AZ,AZ,4021.0,Pinal,Florence,"375,770","13,896.87","5,365.61",22.332,8.622,"13,919.20","5,374.23",32.91891,-111.367257
Santa Cruz County AZ,AZ,4023.0,Santa Cruz,Nogales,"47,420","3,203.60","1,236.92",3.088,1.192,"3,206.69","1,238.11",31.525904,-110.84519
Yavapai County AZ,AZ,4025.0,Yavapai,Prescott,"211,033","21,039.77","8,123.50",11.502,4.441,"21,051.27","8,127.94",34.630044,-112.573745
Yuma County AZ,AZ,4027.0,Yuma,Yuma,"195,751","14,281.17","5,513.99",13.254,5.117,"14,294.43","5,519.11",32.773942,-113.910905
Arkansas County AR,AR,5001.0,Arkansas,"De Witt, Stuttgart","19,019","2,560.90",988.77,116.496,44.979,"2,677.40","1,033.75",34.289574,-91.376547
Ashley County AR,AR,5003.0,Ashley,Hamburg,"21,853","2,396.64",925.349,39.311,15.178,"2,435.95",940.527,33.190835,-91.772267
Baxter County AR,AR,5005.0,Baxter,Mountain Home,"41,513","1,435.59",554.283,83.997,32.432,"1,519.59",586.715,36.28071,-92.330438
Benton County AR,AR,5007.0,Benton,Bentonville,"221,339","2,194.65",847.357,94.662,36.549,"2,289.31",883.906,36.337825,-94.256187
Boone County AR,AR,5009.0,Boone,Harrison,"36,903","1,528.69",590.231,30.044,11.6,"1,558.74",601.831,36.304308,-93.079204
Bradley County AR,AR,5011.0,Bradley,Warren,"11,508","1,681.50",649.231,9.547,3.686,"1,691.05",652.917,33.463819,-92.168164
Calhoun County AR,AR,5013.0,Calhoun,Hampton,"5,368","1,628.02",628.581,9.926,3.833,"1,637.94",632.414,33.56046,-92.513879
Carroll County AR,AR,5015.0,Carroll,"Berryville, Eureka Springs","27,446","1,631.92",630.087,22.566,8.713,"1,654.48",638.8,36.337774,-93.541663
Chicot County AR,AR,5017.0,Chicot,Lake Village,"11,800","1,668.74",644.304,120.392,46.483,"1,789.13",690.787,33.267139,-91.297158
Clark County AR,AR,5019.0,Clark,Arkadelphia,"22,995","2,243.12",866.074,43.396,16.755,"2,286.52",882.829,34.053312,-93.176205
Clay County AR,AR,5021.0,Clay,"Piggott, Corning","16,083","1,656.21",639.465,5.106,1.971,"1,661.31",641.436,36.367302,-90.418704
Cleburne County AR,AR,5023.0,Cleburne,Heber Springs,"25,970","1,434.06",553.692,99.015,38.23,"1,533.07",591.922,35.566288,-92.059974
Cleveland County AR,AR,5025.0,Cleveland,Rison,"8,689","1,548.25",597.783,2.5,0.965,"1,550.75",598.748,33.893201,-92.188714
Columbia County AR,AR,5027.0,Columbia,Magnolia,"24,552","1,984.07",766.053,1.814,0.7,"1,985.88",766.753,33.21507,-93.226901
Conway County AR,AR,5029.0,Conway,Morrilton,"21,273","1,430.32",552.25,37.343,14.418,"1,467.66",566.668,35.265702,-92.689248
Craighead County AR,AR,5031.0,Craighead,"Lake City, Jonesboro","96,443","1,831.66",707.206,14.162,5.468,"1,845.82",712.674,35.828268,-90.630411
Crawford County AR,AR,5033.0,Crawford,Van Buren,"61,948","1,536.11",593.094,28.874,11.148,"1,564.98",604.242,35.583041,-94.236224
Crittenden County AR,AR,5035.0,Crittenden,Marion,"50,902","1,579.27",609.76,68.939,26.617,"1,648.21",636.377,35.211878,-90.315331
Cross County AR,AR,5037.0,Cross,Wynne,"17,870","1,596.42",616.381,15.349,5.926,"1,611.77",622.307,35.291259,-90.773894
Dallas County AR,AR,5039.0,Dallas,Fordyce,"8,116","1,728.52",667.386,1.864,0.72,"1,730.39",668.106,33.967823,-92.653999
Desha County AR,AR,5041.0,Desha,Arkansas City,"13,008","1,989.50",768.152,133.058,51.374,"2,122.56",819.526,33.828748,-91.244427
Drew County AR,AR,5043.0,Drew,Monticello,"18,509","2,145.43",828.356,18.921,7.305,"2,164.35",835.661,33.587242,-91.722778
Faulkner County AR,AR,5045.0,Faulkner,Conway,"113,237","1,678.01",647.884,41.927,16.188,"1,719.94",664.072,35.146356,-92.324654
Franklin County AR,AR,5047.0,Franklin,"Charleston, Ozark","18,125","1,576.93",608.857,27.934,10.785,"1,604.87",619.642,35.508573,-93.887672
Fulton County AR,AR,5049.0,Fulton,Salem,"12,245","1,601.11",618.194,5.527,2.134,"1,606.64",620.328,36.383443,-91.819239
Garland County AR,AR,5051.0,Garland,Hot Springs,"96,024","1,755.45",677.781,147.214,56.84,"1,902.66",734.621,34.578861,-93.146915
Grant County AR,AR,5053.0,Grant,Sheridan,"17,853","1,636.38",631.809,2.904,1.121,"1,639.28",632.93,34.288063,-92.423984
Greene County AR,AR,5055.0,Greene,Paragould,"42,090","1,496.23",577.699,4.827,1.864,"1,501.06",579.563,36.119922,-90.565241
Hempstead County AR,AR,5057.0,Hempstead,Hope,"22,609","1,884.27",727.52,35.372,13.657,"1,919.64",741.177,33.728611,-93.665809
Hot Spring County AR,AR,5059.0,Hot Spring,Malvern,"32,923","1,593.37",615.202,18.053,6.97,"1,611.42",622.172,34.315177,-92.944147
Howard County AR,AR,5061.0,Howard,Nashville,"13,789","1,524.35",588.554,17.509,6.76,"1,541.86",595.314,34.083179,-93.990988
Independence County AR,AR,5063.0,Independence,Batesville,"36,647","1,978.63",763.953,19.594,7.565,"1,998.22",771.518,35.737499,-91.559942
Izard County AR,AR,5065.0,Izard,Melbourne,"13,696","1,503.69",580.577,8.913,3.441,"1,512.60",584.018,36.094879,-91.913625
Jackson County AR,AR,5067.0,Jackson,Newport,"17,997","1,641.89",633.938,19.588,7.563,"1,661.48",641.501,35.596605,-91.223178
Jefferson County AR,AR,5069.0,Jefferson,Pine Bluff,"77,435","2,255.22",870.746,111.448,43.03,"2,366.67",913.776,34.277696,-91.930701
Johnson County AR,AR,5071.0,Johnson,Clarksville,"25,540","1,708.88",659.804,59.416,22.94,"1,768.30",682.744,35.573359,-93.466322
Lafayette County AR,AR,5073.0,Lafayette,Lewisville,"7,645","1,368.21",528.268,43.539,16.811,"1,411.75",545.079,33.24066,-93.611643
Lawrence County AR,AR,5075.0,Lawrence,Walnut Ridge,"17,415","1,521.91",587.614,12.245,4.728,"1,534.16",592.342,36.041098,-91.101153
Lee County AR,AR,5077.0,Lee,Marianna,"10,424","1,560.78",602.621,43.722,16.881,"1,604.50",619.502,34.77975,-90.779288
Lincoln County AR,AR,5079.0,Lincoln,Star City,"14,134","1,454.32",561.517,27.631,10.668,"1,481.95",572.185,33.957665,-91.727624
Little River County AR,AR,5081.0,Little River,Ashdown,"13,171","1,378.53",532.253,84.208,32.513,"1,462.74",564.766,33.699497,-94.229774
Logan County AR,AR,5083.0,Logan,"Booneville, Paris","22,353","1,834.03",708.125,60.696,23.435,"1,894.73",731.56,35.21855,-93.720563
Lonoke County AR,AR,5085.0,Lonoke,Lonoke,"68,356","1,996.18",770.728,83.17,32.112,"2,079.35",802.84,34.755114,-91.894132
Madison County AR,AR,5087.0,Madison,Huntsville,"15,717","2,160.71",834.255,7.316,2.825,"2,168.03",837.08,36.012545,-93.724053
Marion County AR,AR,5089.0,Marion,Yellville,"16,653","1,546.25",597.009,112.175,43.311,"1,658.42",640.32,36.266656,-92.678588
Miller County AR,AR,5091.0,Miller,Texarkana,"43,462","1,620.24",625.578,31.264,12.071,"1,651.50",637.649,33.305505,-93.901509
Mississippi County AR,AR,5093.0,Mississippi,"Blytheville, Osceola","46,480","2,332.48",900.574,49.826,19.238,"2,382.30",919.812,35.766943,-90.052209
Monroe County AR,AR,5095.0,Monroe,Clarendon,"8,149","1,572.44",607.122,36.715,14.176,"1,609.15",621.298,34.679513,-91.203314
Montgomery County AR,AR,5097.0,Montgomery,Mount Ida,"9,487","2,019.88",779.88,52.86,20.409,"2,072.74",800.289,34.545652,-93.664147
Nevada County AR,AR,5099.0,Nevada,Prescott,"8,997","1,600.19",617.837,7.258,2.802,"1,607.45",620.639,33.666699,-93.305072
Newton County AR,AR,5101.0,Newton,Jasper,"8,330","2,126.11",820.896,5.932,2.29,"2,132.04",823.186,35.910063,-93.215084
Ouachita County AR,AR,5103.0,Ouachita,Camden,"26,120","1,897.90",732.783,18.05,6.969,"1,915.95",739.752,33.591158,-92.878418
Perry County AR,AR,5105.0,Perry,Perryville,"10,445","1,428.13",551.402,23.649,9.131,"1,451.78",560.533,34.946363,-92.926877
Phillips County AR,AR,5107.0,Phillips,Helena-West Helena,"21,757","1,801.76",695.663,82.056,31.682,"1,883.81",727.345,34.425842,-90.848386
Pike County AR,AR,5109.0,Pike,Murfreesboro,"11,291","1,555.59",600.618,34.996,13.512,"1,590.59",614.13,34.158191,-93.658659
Poinsett County AR,AR,5111.0,Poinsett,Harrisburg,"24,583","1,964.22",758.389,13.523,5.221,"1,977.74",763.61,35.568981,-90.680595
Polk County AR,AR,5113.0,Polk,Mena,"20,662","2,221.38",857.679,12.387,4.783,"2,233.77",862.462,34.490915,-94.230884
Pope County AR,AR,5115.0,Pope,Russellville,"61,754","2,104.49",812.548,47.207,18.227,"2,151.70",830.775,35.455297,-93.031535
Prairie County AR,AR,5117.0,Prairie,"Des Arc, De Valls Bluff","8,715","1,678.20",647.958,71.629,27.656,"1,749.83",675.614,34.828225,-91.5572
Pulaski County AR,AR,5119.0,Pulaski,Little Rock,"382,748","1,967.78",759.763,124.062,47.9,"2,091.84",807.663,34.773988,-92.316515
Randolph County AR,AR,5121.0,Randolph,Pocahontas,"17,969","1,689.17",652.191,9.968,3.849,"1,699.13",656.04,36.341299,-91.028441
St. Francis County AR,AR,5123.0,St. Francis,Forrest City,"28,258","1,644.05",634.771,20.05,7.741,"1,664.10",642.512,35.014438,-90.742199
Saline County AR,AR,5125.0,Saline,Benton,"107,118","1,874.13",723.604,17.836,6.886,"1,891.96",730.49,34.648525,-92.674463
Scott County AR,AR,5127.0,Scott,Waldron,"11,233","2,311.10",892.32,14.901,5.753,"2,326.00",898.073,34.858869,-94.063641
Searcy County AR,AR,5129.0,Searcy,Marshall,"8,195","1,725.18",666.095,6.257,2.416,"1,731.43",668.511,35.90966,-92.699351
Sebastian County AR,AR,5131.0,Sebastian,"Greenwood, Fort Smith","125,744","1,377.64",531.911,36.906,14.249,"1,414.55",546.16,35.196981,-94.274989
Sevier County AR,AR,5133.0,Sevier,De Queen,"17,058","1,463.67",565.126,41.831,16.151,"1,505.50",581.277,33.994608,-94.24329
Sharp County AR,AR,5135.0,Sharp,Ash Flat,"17,264","1,565.49",604.439,5.173,1.997,"1,570.66",606.436,36.173399,-91.471069
Stone County AR,AR,5137.0,Stone,Mountain View,"12,394","1,570.58",606.405,7.839,3.027,"1,578.42",609.432,35.856989,-92.140494
Union County AR,AR,5139.0,Union,El Dorado,"41,639","2,691.55","1,039.21",41.402,15.985,"2,732.95","1,055.20",33.168219,-92.598145
Van Buren County AR,AR,5141.0,Van Buren,Clinton,"17,295","1,834.08",708.143,41.806,16.141,"1,875.89",724.284,35.582959,-92.515977
Washington County AR,AR,5143.0,Washington,Fayetteville,"203,065","2,439.68",941.966,27.047,10.443,"2,466.73",952.409,35.971209,-94.218417
White County AR,AR,5145.0,White,Searcy,"77,076","2,680.83","1,035.08",18.311,7.07,"2,699.14","1,042.15",35.254722,-91.753158
Woodruff County AR,AR,5147.0,Woodruff,Augusta,"7,260","1,519.78",586.791,18.708,7.223,"1,538.49",594.014,35.189071,-91.244418
Yell County AR,AR,5149.0,Yell,"Dardanelle, Danville","22,185","2,408.65",929.984,48.88,18.873,"2,457.53",948.857,34.997713,-93.408303
